31.01.2026 | Ralli | 61.  Arctic Lapland Rally | Rovaniemi ,Kemijärvi, Ranua ja Posio | AKK
17.05.2026 | Rata-ajo | HISTORIC RACE BOTNIARING | Botniaring | AKK
17.05.2026 | Karting | Karting SM | Vantaa | AKK
17.05.2026 | Autosuunnistus | Auto Suunnistus Harjoituskilpailu | Tuusniemi | AKK
17.05.2026 | Pienoisautoilu | NITRO POWER TOUR SM 1 | Hyvinkään Vauhtipuisto | AKK
17.05.2026 | Jokkis | Touko-jm | Kalmookangas, Härmä | AKK
23.05.2026 | Rata-ajo | FRC Rata | Alastaro Circuit Alastaro | AKK
23.05.2026 | Ralli | SM Imatra Ralli | Imatra | AKK
23.05.2026 | Jokkis | Irva JM | Irvan moottorirata Oulainen | AKK
23.05.2026 | Jokkis | Karstula JM | Vallitien maarata | AKK
24.05.2026 | Drifting | Ala-Talkkari Drift SM Pro2 | Ala-Talkkari Areena | AKK
24.05.2026 | Karting | IAME Series Finland 2026 | TBA | AKK
24.05.2026 | Rallicross | RallyX Honkajoki | Pesämäen Moottoriurheilukeskus | AKK
24.05.2026 | Karting | Rotax Max Challenge | TBA | AKK
24.05.2026 | Endurance | Endurance Cup 2026 | Alastaro Circuit Alastaro | AKK
24.05.2026 | Jokkis | Motourakointi Föhr Oy JM | Turkkimäen JM Rata | AKK
24.05.2026 | Jokkis | Päijät-Hämeen Autohuolto JM | Tullinportin JM rata Vesivehmaa | AKK
24.05.2026 | Jokkis | Somero JM | Somura | AKK
31.05.2026 | Jokkis | Äetsä JM | Huittinen, Kuninkainen | AKK
31.05.2026 | Karting | Flying Finn Raket Cup  | Jämsä Fk -Rata  Haaralantie 101 Jämsä | AKK
31.05.2026 | Jokkis | Romukulma JM | Haapavuoren moottorirata Pihtipudas | AKK
06.06.2026 | Drifting | Drfting SM Oulu Pro/Pro2 | OuluZone | AKK
06.06.2026 | Rallicross | 2. Rallicross SM Kouvola | Tykkimäen Moottorirata Kouvola | AKK
06.06.2026 | Endurance | Endurance Cup 2026 | Botniaring Jurva | AKK
06.06.2026 | Ralli | F-Cup Pohjanmaa Ralli | Seinäjoki | AKK
06.06.2026 | Jokkis | JM Paltanen | Paltasen autourheilukeskus | AKK
06.06.2026 | Jokkis | Kesä Kapina JM | Nivala, Pyssymäki | AKK
07.06.2026 | Karting | Flyinn Finn Cup | Huhmari Karting | AKK
07.06.2026 | Karting | Rotax Max Challenge | TBA | AKK
07.06.2026 | Jokkis | Maanrakennus JM | Kokemäki | AKK
07.06.2026 | Jokkis | SV-Kuivaus Liiga | JoSeMoRa | AKK
13.06.2026 | Rata-ajo | FRC Botniaring | Botniaring | AKK
13.06.2026 | Ralli | SM Jyväskylä Ralli | Jyväskylä | AKK
13.06.2026 | Rallisprint | Kokkola SM Asfalttisprint  | Kokkola  | AKK
14.06.2026 | Karting | SM Pori | Porin FK Rata | AKK
14.06.2026 | Karting | Flying Finn Juniori Cup Kangasala | Lentola Green Karting Park | AKK
14.06.2026 | Rata-ajo | FRC Ahvenisto 2026 | nan | AKK
14.06.2026 | Karting | IAME Series Finland 2026 | TBA | AKK
14.06.2026 | Jokkis | JM-SM EVK/Nu/Na | Sotkan Moottorirata, Kauhajoki | AKK
14.06.2026 | Off Road | Juhannustrial | Raisio | AKK
19.06.2026 | Jokkis | UNICO JM KÄPPÄMÄKI | Kärppämäen Moottorirata Kauhava | AKK
19.06.2026 | Jokkis | Yöttömän Yön JM | Juvakaisen Moottoriurheilurata | AKK
20.06.2026 | Jokkis | Kassun Juhannus-JM | Karvia | AKK
20.06.2026 | Drifting | Midsummer Madness | Pesämäen Moottoriurheilukeskus | AKK
20.06.2026 | Crosskart | Yöttömän Yön Crosskart SM | Juvakaisen Moottoriurheilurata | AKK
21.06.2026 | Crosskart | Kassun Juhannus Crosskart SM | Karvian moottorirata | AKK
27.06.2026 | Ralli | Pukkila Ralli | PUKKILA | AKK
28.06.2026 | Pienoisautoilu | ISRA EM 2026 - Kotka | Kotka | AKK
28.06.2026 | Pienoisautoilu | FUEL POWER TOUR SM2 & NITRO POWER TOUR SM 2 | TAMPERE AASI AREENA | AKK
28.06.2026 | Jokkis | Riekkola Infra JM SM | Pello Kittisvaara | AKK
04.07.2026 | Rallicross | 3. Rallicross SM Härmä | Kalmookankaan Moottorirata, Alahärmä | AKK
04.07.2026 | Ralli | HYAcenter ralli | Pirkanmaa | AKK
04.07.2026 | Jokkis | Karnevaali Jm | Ralliraitti | AKK
04.07.2026 | Jokkis | Kesä Kuhmut | Kokemäki, Risten rata. | AKK
04.07.2026 | Off Road | Montenegro Off Road Club SM-trial 2026 | Keihäskankaan Moottorirata-alue, Luotosentie 193, 54500  Taavetti | AKK
05.07.2026 | Drifting | DRIFT SM Pro/Pro2 2026 HYVINKÄÄ | Hyvinkään Vauhtipuisto | AKK
05.07.2026 | Karting | Flying Finn Raket cup Töysä | Kartingrata Töysä | AKK
05.07.2026 | Karting | Rotax Max Challenge | TBA | AKK
05.07.2026 | Crosskart | Crosskart SM Koivuniemi | Koivuniemi, Eurajoki | AKK
05.07.2026 | Jokkis | JM-Kalajoki | Isokallion moottorirata, Kalajoki | AKK
11.07.2026 | Rata-ajo | FRC Estonian Grand Prix | Porsche Ring, Pärnu | AKK
11.07.2026 | Drifting | Powerpark Drift  | Powerpark Härmä | AKK
12.07.2026 | Jokkis | 39.Poikkinaintiajot | Kittisvaaran moottoriurheilukeskus | AKK
12.07.2026 | Karting | Karting SM Kimi Circuit | Lappeenranta | AKK
12.07.2026 | Drifting | Drift Masters Round 4/Ahvenisto Race Circuit | Ahvenisto Race Circuit | AKK
18.07.2026 | Jokkis | AL-Härmä 60v. JM Juhlakisa | Kalmookankaan Moottorirata, Alahärmä | AKK
18.07.2026 | Endurance | Endurance Cup 2026 | Kymiring Kausala | AKK
18.07.2026 | Rallisprint | Happy Beach SM Asfalttisprint | Vaala | AKK
19.07.2026 | Crosskart | CrossKart OuluZone | OuluZone | AKK
19.07.2026 | Karting | IAME Series Finland 2026 | TBA | AKK
19.07.2026 | Karting | Karting SM Kangasala | Lentola Green Karting Park | AKK
19.07.2026 | Jokkis | Salo Jokkis | JM-rata Somura | AKK
25.07.2026 | Ralli | Ralli | Pirkanmaa | AKK
26.07.2026 | Pienoisautoilu | ISRA Warmup #2 | Kotka | AKK
26.07.2026 | Jokkis | 40. Kardaanikunkku | Kaanaa Center | AKK
26.07.2026 | Rata-ajo | Historic race Kemora | Kemoran moottorirata | AKK
26.07.2026 | Karting | Rotax Max Challenge | TBA | AKK
01.08.2026 | Ralli | Vetomies | Jyväskylä | AKK
01.08.2026 | Drifting | Drifting SM Pro/Pro2 Pesämäki | Pesämäen Moottoriurheilukeskus | AKK
01.08.2026 | Jokkis | Karvia Päivä JM | Karvian moottorirata | AKK
01.08.2026 | Jokkis | Puolangan Vaarat XVII | Puolanka, Roninkangas | AKK
02.08.2026 | Ralli | Secto Rally Finland | Jyväskylä | AKK
02.08.2026 | Jokkis | Korkatti JM | Korkatin moottorirata Haapavesi  | AKK
02.08.2026 | Jokkis | WALLIUS JM | Somuran Moottorirata | AKK
08.08.2026 | Rallicross | 4. Rallicross SM Oulu | OuluZone | AKK
08.08.2026 | Rata-ajo | FRC Kemora | Kemoran moottorirata | AKK
08.08.2026 | Jokkis | KRS JM | Kristiinankaupunki | AKK
08.08.2026 | Autosuunnistus | Lakeuren ST | Seinäjoki | AKK
08.08.2026 | Jokkis | X HausUA JM | Hyvinkään Vauhtipuisto | AKK
09.08.2026 | Jokkis | Hulkkonen Yhtiöt JM | Paltasen autourheilukeskus | AKK
09.08.2026 | Karting | Rotax Max Challenge | TBA | AKK
09.08.2026 | Jokkis | Auto-Din JM | Tammisaaren JM rata | AKK
09.08.2026 | Pienoisautoilu | FUEL POWER TOUR SM 4 | TAMPERE AASI AREENA | AKK
09.08.2026 | Jokkis | JM-HUHA | Huhan moottorirata Purontaka | AKK
15.08.2026 | Ralli | Kitee SM ralli | Keski-Karjala | AKK
15.08.2026 | Jokkis | Kokemäen Kuhmut | Risten Rata, Kokemäki | AKK
15.08.2026 | Jokkis | Lapinlahti JM | Lapinlahti | AKK
15.08.2026 | Jokkis | SORAKUNKKU XXXIII | Måtasberget, Jepua | AKK
16.08.2026 | Rata-ajo | Historic Grand Race | Ahveniston Moottorirata, Hämeenlinna | AKK
16.08.2026 | Karting | Flying Finn Juniori Cup Imatra | Saarlammin Kartingrata, Karjalantie 777, 55800 IMATRA | AKK
16.08.2026 | Karting | IAME Series Finland 2026 | TBA | AKK
16.08.2026 | Crosskart | ELHO Crosskart SM Jepua | Måtasberget, Jepua | AKK
16.08.2026 | Jokkis | Koniwatit Valloillaan | Kotkan MU-keskus | AKK
16.08.2026 | Pienoisautoilu | NITRO POWER TOUR SM 4 | Hyvinkään Vauhtipuisto | AKK
16.08.2026 | Jokkis | XXXVIII Ähtärin Ähellys | Karstula, Vallitien Vauhtirata | AKK
22.08.2026 | Ralli | Lahti Historic Rally | Lahti | AKK
22.08.2026 | Ralli | Ralli | Lahti | AKK
22.08.2026 | Rallicross | 5. Rallicross SM Honkajoki | Pesämäen moottoriurheilukeskus | AKK
22.08.2026 | Ralli | Harjoituskilpailu | Sauvo | AKK
22.08.2026 | Jokkis | VaToSUA JM | Akaa | AKK
23.08.2026 | Pienoisautoilu | Finnish Open 2026 - Kotka | Kotka | AKK
23.08.2026 | Karting | Rotax Max Challenge | TBA | AKK
23.08.2026 | Jokkis | Jokamiehen Kiekaus | Laitila  | AKK
23.08.2026 | Jokkis | Murtoharju JM | Jalasjärvi | AKK
29.08.2026 | Drifting | Drift SM Pro Ahvenisto | Ahveniston moottorirata, Hämeenlinna | AKK
29.08.2026 | Endurance | Endurance Cup 2026 | Kemora Veteli | AKK
29.08.2026 | Rallisprint | Leppävirta SM-Rallisprint | Puponmäki | AKK
29.08.2026 | Rallisprint | SM Rallisprint Raahe | Kiiluntie / Kiilun moottorirata, Raahe | AKK
30.08.2026 | Jokkis | Alatalot JM SM Liiga 2026 | Karvian Moottorirata | AKK
05.09.2026 | Karting | Karting SM | ---- | AKK
05.09.2026 | Rallicross | 6. Rallicross SM Jalasjärvi | Murtoharjun moottorirata, Jalasjärvi | AKK
05.09.2026 | Jokkis | Haapakumpu JM | Kiuruvesi / Haapakumpu | AKK
05.09.2026 | Ralli | Koillis-Savo Ralli | Tuusniemi | AKK
05.09.2026 | Off Road | MMR SM Trial | Mäntsälä | AKK
05.09.2026 | Autosuunnistus | XXI Syys-ST | Pirkanmaa | AKK
06.09.2026 | Rata-ajo | Historic Kymi Race | Kymiring | AKK
06.09.2026 | Karting | IAME Series Finland 2026 | TBA | AKK
06.09.2026 | Jokkis | 23. Raisio JM | Somero | AKK
06.09.2026 | Jokkis | Mäntyharjun Moottorikerho JM | Mäntyharjun Moottoriurheilukeskus | AKK
12.09.2026 | Jokkis | Nuuskakaira JM | Pello Kittisvaara | AKK
12.09.2026 | Jokkis | Syys JM | Hangassuon JM rata | AKK
13.09.2026 | Crosskart | Crosskart SM | Särkikankaan Moottoriurheilukeskus | AKK
13.09.2026 | Jokkis | EVK-Liiga | Ylämyllyn Moottoriurheilukeskus | AKK
13.09.2026 | Rata-ajo | FRC KymiRing | KymiRing | AKK
19.09.2026 | Autosuunnistus | AS V Savon Suhhaas  | Pohjois-Savo | AKK
19.09.2026 | Endurance | Endurance Cup 2026 | Botniaring Jurva | AKK
19.09.2026 | Jokkis | Irva JM | Irvan moottorirata Oulainen | AKK
19.09.2026 | Jokkis | L-HUA JM | Risten rata, Kokemäki | AKK
19.09.2026 | Rallisprint | MRF Tyres SM Sprint | Ylistaro asema | AKK
19.09.2026 | Jokkis | Sotka-JM | Sotkan Moottorirata, Kauhajoki | AKK
19.09.2026 | Ralli | XLIX RANTARALLI | Mynämäki | AKK
20.09.2026 | Jokkis | Syysrylläys | Tykkimäen Moottorirata Kouvola | AKK
20.09.2026 | Rata-ajo | MRT rata  | Botniaring Jurva | AKK
20.09.2026 | Jokkis | TC-King JM Lappajärvi | Särkiniemen moottorirata | AKK
20.09.2026 | Jokkis | XLI Koivuniemen Syys-JM | Koivuniemi, Eurajoki | AKK
26.09.2026 | Ralli | Porvoon Autopalvelu Ralli-SM | Porvoo | AKK
26.09.2026 | Jokkis | JM-Kilpailu | JoSeMoRa | AKK
26.09.2026 | Jokkis | JM-Kokkola | Kemora | AKK
26.09.2026 | Jokkis | Nokia JM | Nokian JM-rata | AKK
27.09.2026 | Jokkis | JM- KÄRPPÄMäKI | Kärppämäen Moottorirata Kauhava | AKK
27.09.2026 | Jokkis | Jyrki Kuittinen Oy JM | Turkkimäen JM Rata | AKK
27.09.2026 | Jokkis | ÄSSÄ JM XLI | Somura | AKK
03.10.2026 | Ralli |  Puumala ralli | Puumala | AKK
03.10.2026 | Jokkis | Ala-Talkkari Areena Asfaltti Jm | Ala-Talkkari Areena | AKK
03.10.2026 | Jokkis | Vihdin Viuhahdus JM | Hyvinkään Vauhtipuisto | AKK
04.10.2026 | Jokkis | Kuljetus Pasi Koskinen JM | Kuninkaisten Moottorirata,Huittinen | AKK
04.10.2026 | Jokkis | Vallitien Vauhtiajot | Vallitien maarata | AKK
10.10.2026 | Pienoisautoilu | ISRA MM 2026 | Kotka | AKK
10.10.2026 | Ralli | Jari-Pekka ralli | Hartola | AKK
10.10.2026 | Rallisprint | SM Oili Jalonen Rallisprint I | Laitila | AKK
10.10.2026 | Jokkis | Särkikangas JM | Särkikankaan moottorirata | AKK
10.10.2026 | Jokkis | XIV Härmä JM | Kalmookankaan Moottorirata, Alahärmä | AKK
11.10.2026 | Jokkis | Pikkusuo JM | Pikkusuon moottorirata Inkeroinen Kouvola  | AKK
18.10.2026 | Jokkis | Reiskan Rähinät | Alastaro | AKK
23.10.2026 | Autosuunnistus | Härkätien Lenkki 2026 | Renko, Hämeenlinna | AKK
24.10.2026 | Autosuunnistus | SM/NAC Syyseksytys | Riihimäki | AKK
25.10.2026 | Jokkis | Kinkku JM | Virrat, Jäähdyrata | AKK
07.02.2026 | Rallisprint | Tornio Rallisprint | Harrastepaikka | HaMu
08.02.2026 | Rallisprint | Konepalvelu Väissi Rallisprint | Harrastepaikka | HaMu
14.02.2026 | Ralli | Kontiolahti Ralli | Harrastepaikka | HaMu
14.02.2026 | Ralli | Toivakka Ralli | Harrastepaikka | HaMu
21.02.2026 | Ralli | Kemi Ralli | Harrastepaikka | HaMu
22.02.2026 | Rallisprint | SWM Rallisprint | Harrastepaikka | HaMu
28.02.2026 | Ralli | Mega-Ralli, Keuruu | Harrastepaikka | HaMu
08.03.2026 | Rallisprint | Rallisprint, Rautavaara | Harrastepaikka | HaMu
14.03.2026 | Ralli | Kuhmo Ralli | Harrastepaikka | HaMu
14.03.2026 | Ralli | VRC Winter Rallispecial | Harrastepaikka | HaMu
03.05.2026 | Ralli | Xmeal Asfalttiralli | Harrastepaikka | HaMu
09.05.2026 | Ralli | Autohuolto.com Ralli, Sastamala | Harrastepaikka | HaMu
09.05.2026 | Harraste | Arkala JR | OuluZone, Kuusamontie 3250, Ylikiiminki, 91310 | HaMu
16.05.2026 | Harraste | JR Uljua | Uljuan Moottorirata, Haapavuorentie, Pulkkila, 92600 | HaMu
23.05.2026 | Ralli | Harjoitusralli / Testi-EK, Sastamala | Harrastepaikka | HaMu
06.06.2026 | Jokkis | Kinnunen Motorsport JokkisRace | Aittokosken rata, Emäjoentie 71, Suomussalmi, 89600 | HaMu
27.06.2026 | Ralli | PH-Peltiasennus Ralli | Harrastepaikka | HaMu
17.07.2026 | Ralli | Lappeenranta Ralli | Harrastepaikka | HaMu
08.08.2026 | Rallisprint | Turun Ajovaruste Rallisprint | Harrastepaikka | HaMu
15.08.2026 | Rallisprint | Rallisprint, Siikajoki | Harrastepaikka | HaMu
22.08.2026 | Harraste | Euroopan Kulttuurikaupunki 2026 JR SM | OuluZone, Kuusamontie 3250, Ylikiiminki, 91310 | HaMu
22.08.2026 | Rallisprint | Saunamaailma.pro Rallisprint | Harrastepaikka | HaMu
29.08.2026 | Ralli | Maanrakennus Sjöberg Rallispecial | Harrastepaikka | HaMu
05.09.2026 | Rallisprint | Rallisprint, Sastamala | Harrastepaikka | HaMu
12.09.2026 | Ralli | Parkano Ralli | Harrastepaikka | HaMu
